name;last_name;birth_date;id;city;town;symptoms;description;status
Nilce;Aguayo;10/11/1972;19789358206;San Marcos;Ayutla;Fiebre, Cansancio;San Francisco, Mexico;Recuperado
Candelaria;Veliz;7/04/1949;28899849143;Jalapa;Jalapa;Fiebre, Cansancio;Albuquerque, Estados Unidos;Recuperado
Mili;Meléndez;3/06/1939;22833439107;Izabal;Los Amates;Fiebre, Cansancio, Escalofríos y dolores corporales;Toledo, Estados Unidos;Recuperado
Demeter;Ulibarri;29/05/1989;21348506185;Sololá;Nahualá;Fiebre, Tos seca;Bocana de Paiwas, Nicaragua;Recuperado
Elodia;Collazo;14/10/2005;2741952489;Retalhuleu;San Sebastián;Fiebre, Tos seca, Escalofríos y dolores corporales;Cañaveral, Honduras;Confirmado
Annabel;Collazo;1/04/2009;24839617109;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;Santa Ana, Estados Unidos;Confirmado
Joana;Lemus;10/06/2008;21533757179;San Marcos;Comitancillo;Fiebre, Cansancio;Las Vegas, Estados Unidos;Confirmado
Nuria;Najera;16/03/2018;22709303119;Petén;San José;Fiebre, Cansancio;Las Americas, Mexico;Confirmado
Innie;Rentería;15/04/1931;2466329455;Chiquimula;Chiquimula;Fiebre, Cansancio, Escalofríos y dolores corporales;Loma Alta, Mexico;Recuperado
Everardo;Samaniego;9/12/1990;29434932168;Chimaltenango;Patzún;Fiebre, Cansancio;Sacramento, Estados Unidos;Recuperado
Tania;Jaime;7/05/1953;19465212205;Sololá;Sololá;Fiebre, Tos seca;Garland, Estados Unidos;Sospechoso
Janette;Moreno;4/01/1957;2070262717;Baja Verapaz;San Miguel Chicaj;Fiebre, Cansancio, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Sospechoso
Olinda;Toro;26/04/1980;1996474722;Alta Verapaz;Cobán;Fiebre, Cansancio;Des Moines, Estados Unidos;Sospechoso
Candido;Díaz;24/02/1940;282916971310;Sololá;Sololá;Fiebre, Tos seca;San Salvador, El Salvador;Recuperado
Cunibaldo;Cano;21/10/1947;2334547855;Quetzaltenango;Salcajá;Fiebre, Cansancio;Las Lomas, Panama;Confirmado
Ladolfo;Montemayor;12/07/2007;20376222113;Sacatepéquez;Ciudad Vieja;Fiebre, Dificultad respiratoria;Independencia, Mexico;Recuperado
Aron;Pedraza;29/08/1979;25895356135;Sololá;Panajachel;Fiebre, Tos seca;La Palma, Mexico;Sospechoso
Adelaida;Sanabria;19/01/1979;2585901331;Zacapa;Estanzuela;Fiebre, Tos seca;Oklahoma City, Estados Unidos;Confirmado
Ilia;Monroy;26/02/2008;24752342135;Suchitepéquez;San José El Ídolo;Fiebre, Dificultad respiratoria;Newport News, Estados Unidos;Recuperado
Brandon;Tamez;27/09/1986;2428958394;San Marcos;Ayutla;Fiebre, Tos seca, Escalofríos y dolores corporales;Quezalguaque, Nicaragua;Confirmado
Goio;Téllez;14/03/1997;25687345173;Guatemala;Mixco;Fiebre, Tos seca;Jamaica, Estados Unidos;Sospechoso
Arnulfo;Ocampo;12/05/1964;2712982564;Escuintla;San José;Fiebre, Tos seca;Nuevo Chamelecón, Honduras;Sospechoso
Bartolo;Carbajal;26/07/2002;25146249106;San Marcos;Malacatán;Fiebre, Cansancio, Escalofríos y dolores corporales;New Haven, Estados Unidos;Sospechoso
Licerio;Árias;12/01/2014;2255065528;Sololá;Nahualá;Fiebre, Dificultad respiratoria;Fortuna, Costa Rica;Recuperado
Susan;Alicea;27/10/1944;19470437143;Baja Verapaz;Salamá;Fiebre, Dificultad respiratoria;Kissimmee, Estados Unidos;Confirmado
Licerio;Quesada;5/09/1996;2051419782;Suchitepéquez;Samayac;Fiebre, Tos seca;Omaha, Estados Unidos;Sospechoso
Lutero;Tafoya;7/05/1993;2378931853;Izabal;El Estor;Fiebre, Tos seca, Escalofríos y dolores corporales;Palmas De Gran Canaria, Las, España;Sospechoso
Peer;Manzanares;9/11/2006;2035014481;Zacapa;Río Hondo;Fiebre, Cansancio, Escalofríos y dolores corporales;San Jose, Mexico;Sospechoso
Cesaria;Sisneros;18/06/1972;2007259047;Chimaltenango;Chimaltenango;Fiebre, Tos seca, Escalofríos y dolores corporales;Evansville, Estados Unidos;Sospechoso
Orangel;Pacheco;28/09/1953;19652634197;Huehuetenango;La Libertad;Fiebre, Cansancio, Escalofríos y dolores corporales;Richmond, Estados Unidos;Recuperado
Neptuno;Galindo;25/12/2019;19064469203;Retalhuleu;Santa Cruz Muluá;Fiebre, Tos seca;Jamaica, Estados Unidos;Confirmado
Martial;Laureano;16/10/1948;20399040710;Chiquimula;Quezaltepeque;Fiebre, Cansancio;Badajoz, España;Recuperado
Maico;Urbina;2/11/2007;25777138910;Guatemala;Villa Nueva;Fiebre, Cansancio;Morazán, Guatemala;Recuperado
Ermelindo;Tórrez;2/07/2018;24540253510;Escuintla;San José;Fiebre, Cansancio;Seattle, Estados Unidos;Sospechoso
Olaf;Montenegro;20/02/1967;2211870164;Guatemala;Chuarrancho;Fiebre, Tos seca;San Antonio Aguas Calientes, Guatemala;Recuperado
Junior;Urena;20/04/1922;26796857152; Quetzaltenango; Salcajá;Fiebre, Tos seca, Escalofríos y dolores corporales;Teruel, España;Confirmado
Giancarlo;Lira;8/12/1991;29828613137;Guatemala;Guatemala;Fiebre, Tos seca;El Escanito, Honduras;Recuperado
Kristina;Barajas;28/11/1952;2793219492;Escuintla;San Vicente Pacaya;Fiebre, Tos seca, Escalofríos y dolores corporales;Joliet, Estados Unidos;Sospechoso
Valfredo;Ibarra;6/07/1934;2170264248;Sololá;San Antonio Palopó;Fiebre, Cansancio;Panamá, Panama;Sospechoso
Jerónima;Rosas;10/11/1943;22416987188;Zacapa;Estanzuela;Fiebre, Dificultad respiratoria;San Lucas Sacatepéquez, Guatemala;Confirmado
Ald;Arroyo;23/02/1978;24818962151;Escuintla;Siquinalá;Fiebre, Tos seca;San Felipe, Costa Rica;Confirmado
Agenor;Baez;30/04/1925;20422606182;Huehuetenango;Cuilco;Fiebre, Cansancio;Santiago de María, El Salvador;Recuperado
Ysmael;Santiago;15/08/2005;20525526610;Escuintla;Palín;Fiebre, Dificultad respiratoria;Cerro Punta, Panama;Confirmado
Balbino;Gil;21/02/1950;22786349132;Sacatepéquez;Santa María de Jesús;Fiebre, Dificultad respiratoria;Araulí, Honduras;Sospechoso
Danika;Valentín;9/03/1954;25971056110;Baja Verapaz;Purulhá;Fiebre, Dificultad respiratoria;Las Vegas, Honduras;Sospechoso
Piedad;Casárez;29/08/1972;29729336113;Alta Verapaz;Cobán;Fiebre, Tos seca, Escalofríos y dolores corporales;Agua Buena, Panama;Sospechoso
Ray;Sotelo;16/01/1959;24620212123;Sololá;Concepción;Fiebre, Tos seca, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Recuperado
Pilato;Cordero;16/01/2005;26740247136;Izabal;El Estor;Fiebre, Cansancio, Escalofríos y dolores corporales;Chinameca, El Salvador;Sospechoso
Ambrosia;Hernádez;7/07/1964;2976013414;Quetzaltenango;Quetzaltenango;Fiebre, Tos seca;Hyattsville, Estados Unidos;Confirmado
Pegaso;Domínquez;4/05/1974;26633002197;Sacatepéquez;Ciudad Vieja;Fiebre, Tos seca;Miguel Aleman, Mexico;Confirmado
Laurentino;Olvera;17/12/1982;25968403192;Guatemala;Chuarrancho;Fiebre, Cansancio, Escalofríos y dolores corporales;Springfield, Estados Unidos;Recuperado
Adhelmar;Banda;19/07/1961;28483831174;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Lincoln, Estados Unidos;Confirmado
Lua;Montez;2/06/1927;2820528514;Chimaltenango;San Juan Comalapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Fovissste, Mexico;Recuperado
Lucina;Prieto;14/01/2012;2578370624;Sacatepéquez;Alotenango;Fiebre, Cansancio;San Pedro Sacatepéquez, Guatemala;Recuperado
Quintilio;Arroyo;12/09/1991;24263027126;Guatemala;Guatemala;Fiebre, Tos seca, Escalofríos y dolores corporales;Esparza, Costa Rica;Confirmado
Cleto;Ávalos;23/06/1977;2699090366;Escuintla;Palín;Fiebre, Cansancio;Berlín, El Salvador;Confirmado
Valeriano;Cabán;24/05/1960;1979514949;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;Dulce Nombre de Culmí, Honduras;Confirmado
Fabrizio;Pedraza;10/05/2019;2901378966;Zacapa;Río Hondo;Fiebre, Tos seca;Las Flores, Mexico;Recuperado
Alcia;González;16/10/1986;19502586201;Quetzaltenango;Cantel;Fiebre, Tos seca, Escalofríos y dolores corporales;Bronx, Estados Unidos;Confirmado
Pirra;Armendáriz;31/07/1959;20258304164;Jutiapa;Jalpatagua;Fiebre, Dificultad respiratoria;Maple Plain, Estados Unidos;Confirmado
Domiciano;Mateo;12/01/1971;2170472394;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Kansas City, Estados Unidos;Confirmado
Ciril;Alanis;7/02/1977;19675315219;Sololá;Concepción;Fiebre, Tos seca;Puerto Alto, Honduras;Sospechoso
Helen;Fajardo;24/03/1963;21797269151;Chiquimula;Olopa;Fiebre, Cansancio;Patarrá, Costa Rica;Sospechoso
Gustav;Hinojosa;24/05/1939;27373174110;Retalhuleu;Retalhuleu;Fiebre, Cansancio, Escalofríos y dolores corporales;El Refugio, Mexico;Confirmado
Agesislao;Barajas;28/03/1990;22377519184;Escuintla;San José;Fiebre, Dificultad respiratoria;Pasaco, Guatemala;Confirmado
Iair;Gaytan;25/12/1985;225470111710;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;El Olivar, Honduras;Recuperado
Amilcar;Ramírez;19/11/1999;20973965123;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Fort Worth, Estados Unidos;Confirmado
Maximino;Sauceda;25/07/1941;24683850219;Izabal;Los Amates;Fiebre, Tos seca;Los Angeles, Estados Unidos;Recuperado
Casdoa;Haro;27/01/1956;1931051682;Izabal;Livingston;Fiebre, Tos seca;Sacapulas, Guatemala;Confirmado
Teodolinda;Solano;9/01/1932;19611575223;Quiché;Zacualpa;Fiebre, Cansancio, Escalofríos y dolores corporales;Nueva Ocotepeque, Honduras;Sospechoso
Misael;Cervántez;27/07/1929;26208932146;Guatemala;Mixco;Fiebre, Cansancio;Murcia, España;Confirmado
Azanías;Zamora;24/08/1964;22630527222;Retalhuleu;San Sebastián;Fiebre, Tos seca;Greensboro, Estados Unidos;Confirmado
Clorindo;Granados;18/08/1942;2059551345;Alta Verapaz;San Cristóbal Verapaz;Fiebre, Tos seca, Escalofríos y dolores corporales;San Isidro, Mexico;Confirmado
Idalina;Barraza;21/11/1984;21797002185;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;La Estancia, Honduras;Confirmado
Delfor;Acuna;26/04/1991;2507384117;Sacatepéquez;Pastores;Fiebre, Cansancio;Reforma, Mexico;Sospechoso
Mireille;Ojeda;9/09/1955;2556243118;San Marcos;San Marcos;Fiebre, Dificultad respiratoria;Oakland, Estados Unidos;Recuperado
Telmo;Osorio;12/05/1971;2658322274;Suchitepéquez;San José El Ídolo;Fiebre, Tos seca;Sacramento, Estados Unidos;Confirmado
Yakue;Fajardo;24/02/1945;25995920226;Huehuetenango;La Libertad;Fiebre, Tos seca, Escalofríos y dolores corporales;Ciudad Arce, El Salvador;Recuperado
Friedrich;Palomo;11/08/1967;2779079115;Escuintla;Tiquisate;Fiebre, Cansancio;Concepción Tutuapa, Guatemala;Recuperado
Jacinta;Montez;27/10/1934;19413586182;Huehuetenango;Ixtahuacán;Fiebre, Dificultad respiratoria;Denton, Estados Unidos;Confirmado
Alsan;Arreola;6/08/1950;25502215222;San Marcos;San Marcos;Fiebre, Tos seca, Escalofríos y dolores corporales;Iowa City, Estados Unidos;Recuperado
Tarsicio;Sarabia;15/12/1960;21248997205;San Marcos;Catarina;Fiebre, Tos seca;Lakeland, Estados Unidos;Recuperado
Estanislao;Acuna;25/01/2018;20133430114;Huehuetenango;Santa Bárbara;Fiebre, Cansancio;San Jose, Estados Unidos;Recuperado
Folco;Arana;30/01/1944;2508933566;Sololá;Nahualá;Fiebre, Tos seca, Escalofríos y dolores corporales;Tepusteca, Honduras;Recuperado
Micol;Maya;16/03/1961;28893769113;Chimaltenango;Chimaltenango;Fiebre, Cansancio, Escalofríos y dolores corporales;Jeffersonville, Estados Unidos;Confirmado
Camille;Estrada;5/07/1956;213004341710;San Marcos;Catarina;Fiebre, Cansancio;San Andrés, Panama;Sospechoso
