name;last_name;birth_date;id;city;town;symptoms;description;status;date_of_admission
Demeter;Ulibarri;29/05/1989;21348506185;Sololá;Nahualá;Fiebre, Tos seca;Bocana de Paiwas, Nicaragua;Recuperado;13/04/2020
Elodia;Collazo;14/10/2005;2741952489;Retalhuleu;San Sebastián;Fiebre, Tos seca, Escalofríos y dolores corporales;Cañaveral, Honduras;Confirmado;7/05/2020
Annabel;Collazo;1/04/2009;24839617109;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;Santa Ana, Estados Unidos;Confirmado;24/04/2020
Joana;Lemus;10/06/2008;21533757179;San Marcos;Comitancillo;Fiebre, Cansancio;Las Vegas, Estados Unidos;Confirmado;23/03/2020
Nuria;Najera;16/03/2018;22709303119;Petén;San José;Fiebre, Cansancio;Las Americas, Mexico;Confirmado;24/04/2020
Innie;Rentería;15/04/1931;2466329455;Chiquimula;Chiquimula;Fiebre, Cansancio, Escalofríos y dolores corporales;Loma Alta, Mexico;Recuperado;13/03/2020
Everardo;Samaniego;9/12/1990;29434932168;Chimaltenango;Patzún;Fiebre, Cansancio;Sacramento, Estados Unidos;Recuperado;23/03/2020
Tania;Jaime;7/05/1953;19465212205;Sololá;Sololá;Fiebre, Tos seca;Garland, Estados Unidos;Sospechoso;24/03/2020
Janette;Moreno;4/01/1957;2070262717;Baja Verapaz;San Miguel Chicaj;Fiebre, Cansancio, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Sospechoso;6/05/2020
Olinda;Toro;26/04/1980;1996474722;Alta Verapaz;Cobán;Fiebre, Cansancio;Des Moines, Estados Unidos;Sospechoso;30/04/2020
Candido;Díaz;24/02/1940;282916971310;Sololá;Sololá;Fiebre, Tos seca;San Salvador, El Salvador;Recuperado;12/04/2020
Cunibaldo;Cano;21/10/1947;2334547855;Quetzaltenango;Salcajá;Fiebre, Cansancio;Las Lomas, Panama;Confirmado;8/04/2020
Ladolfo;Montemayor;12/07/2007;20376222113;Sacatepéquez;Ciudad Vieja;Fiebre, Dificultad respiratoria;Independencia, Mexico;Recuperado;31/03/2020
Aron;Pedraza;29/08/1979;25895356135;Sololá;Panajachel;Fiebre, Tos seca;La Palma, Mexico;Sospechoso;5/05/2020
Adelaida;Sanabria;19/01/1979;2585901331;Zacapa;Estanzuela;Fiebre, Tos seca;Oklahoma City, Estados Unidos;Confirmado;18/04/2020
Ilia;Monroy;26/02/2008;24752342135;Suchitepéquez;San José El Ídolo;Fiebre, Dificultad respiratoria;Newport News, Estados Unidos;Recuperado;17/04/2020
Brandon;Tamez;27/09/1986;2428958394;San Marcos;Ayutla;Fiebre, Tos seca, Escalofríos y dolores corporales;Quezalguaque, Nicaragua;Confirmado;26/03/2020
Goio;Téllez;14/03/1997;25687345173;Guatemala;Mixco;Fiebre, Tos seca;Jamaica, Estados Unidos;Sospechoso;16/03/2020
Arnulfo;Ocampo;12/05/1964;2712982564;Escuintla;San José;Fiebre, Tos seca;Nuevo Chamelecón, Honduras;Sospechoso;3/05/2020
Bartolo;Carbajal;26/07/2002;25146249106;San Marcos;Malacatán;Fiebre, Cansancio, Escalofríos y dolores corporales;New Haven, Estados Unidos;Sospechoso;9/04/2020
Licerio;Árias;12/01/2014;2255065528;Sololá;Nahualá;Fiebre, Dificultad respiratoria;Fortuna, Costa Rica;Recuperado;11/04/2020
Susan;Alicea;27/10/1944;19470437143;Baja Verapaz;Salamá;Fiebre, Dificultad respiratoria;Kissimmee, Estados Unidos;Confirmado;30/03/2020
Licerio;Quesada;5/09/1996;2051419782;Suchitepéquez;Samayac;Fiebre, Tos seca;Omaha, Estados Unidos;Sospechoso;28/03/2020
Lutero;Tafoya;7/05/1993;2378931853;Izabal;El Estor;Fiebre, Tos seca, Escalofríos y dolores corporales;Palmas De Gran Canaria, Las, España;Sospechoso;31/03/2020
Peer;Manzanares;9/11/2006;2035014481;Zacapa;Río Hondo;Fiebre, Cansancio, Escalofríos y dolores corporales;San Jose, Mexico;Sospechoso;28/04/2020
Cesaria;Sisneros;18/06/1972;2007259047;Chimaltenango;Chimaltenango;Fiebre, Tos seca, Escalofríos y dolores corporales;Evansville, Estados Unidos;Sospechoso;7/04/2020
Orangel;Pacheco;28/09/1953;19652634197;Huehuetenango;La Libertad;Fiebre, Cansancio, Escalofríos y dolores corporales;Richmond, Estados Unidos;Recuperado;15/04/2020
Neptuno;Galindo;25/12/2019;19064469203;Retalhuleu;Santa Cruz Muluá;Fiebre, Tos seca;Jamaica, Estados Unidos;Confirmado;8/05/2020
Martial;Laureano;16/10/1948;20399040710;Chiquimula;Quezaltepeque;Fiebre, Cansancio;Badajoz, España;Recuperado;12/04/2020
Maico;Urbina;2/11/2007;25777138910;Guatemala;Villa Nueva;Fiebre, Cansancio;Morazán, Guatemala;Recuperado;17/04/2020
Ermelindo;Tórrez;2/07/2018;24540253510;Escuintla;San José;Fiebre, Cansancio;Seattle, Estados Unidos;Sospechoso;22/03/2020
Olaf;Montenegro;20/02/1967;2211870164;Guatemala;Chuarrancho;Fiebre, Tos seca;San Antonio Aguas Calientes, Guatemala;Recuperado;20/04/2020
Junior;Urena;20/04/1922;26796857152; Quetzaltenango; Salcajá;Fiebre, Tos seca, Escalofríos y dolores corporales;Teruel, España;Confirmado;24/04/2020
Giancarlo;Lira;8/12/1991;29828613137;Guatemala;Guatemala;Fiebre, Tos seca;El Escanito, Honduras;Recuperado;13/03/2020
Kristina;Barajas;28/11/1952;2793219492;Escuintla;San Vicente Pacaya;Fiebre, Tos seca, Escalofríos y dolores corporales;Joliet, Estados Unidos;Sospechoso;27/03/2020
Valfredo;Ibarra;6/07/1934;2170264248;Sololá;San Antonio Palopó;Fiebre, Cansancio;Panamá, Panama;Sospechoso;19/03/2020
Jerónima;Rosas;10/11/1943;22416987188;Zacapa;Estanzuela;Fiebre, Dificultad respiratoria;San Lucas Sacatepéquez, Guatemala;Confirmado;5/04/2020
Ald;Arroyo;23/02/1978;24818962151;Escuintla;Siquinalá;Fiebre, Tos seca;San Felipe, Costa Rica;Confirmado;24/04/2020
Agenor;Baez;30/04/1925;20422606182;Huehuetenango;Cuilco;Fiebre, Cansancio;Santiago de María, El Salvador;Recuperado;3/04/2020
Ysmael;Santiago;15/08/2005;20525526610;Escuintla;Palín;Fiebre, Dificultad respiratoria;Cerro Punta, Panama;Confirmado;27/03/2020
Balbino;Gil;21/02/1950;22786349132;Sacatepéquez;Santa María de Jesús;Fiebre, Dificultad respiratoria;Araulí, Honduras;Sospechoso;15/04/2020
Danika;Valentín;9/03/1954;25971056110;Baja Verapaz;Purulhá;Fiebre, Dificultad respiratoria;Las Vegas, Honduras;Sospechoso;24/03/2020
Piedad;Casárez;29/08/1972;29729336113;Alta Verapaz;Cobán;Fiebre, Tos seca, Escalofríos y dolores corporales;Agua Buena, Panama;Sospechoso;21/03/2020
Ray;Sotelo;16/01/1959;24620212123;Sololá;Concepción;Fiebre, Tos seca, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Recuperado;19/04/2020
Pilato;Cordero;16/01/2005;26740247136;Izabal;El Estor;Fiebre, Cansancio, Escalofríos y dolores corporales;Chinameca, El Salvador;Sospechoso;15/03/2020
Ambrosia;Hernádez;7/07/1964;2976013414;Quetzaltenango;Quetzaltenango;Fiebre, Tos seca;Hyattsville, Estados Unidos;Confirmado;25/03/2020
Pegaso;Domínquez;4/05/1974;26633002197;Sacatepéquez;Ciudad Vieja;Fiebre, Tos seca;Miguel Aleman, Mexico;Confirmado;18/04/2020
Laurentino;Olvera;17/12/1982;25968403192;Guatemala;Chuarrancho;Fiebre, Cansancio, Escalofríos y dolores corporales;Springfield, Estados Unidos;Recuperado;19/03/2020
Adhelmar;Banda;19/07/1961;28483831174;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Lincoln, Estados Unidos;Confirmado;18/03/2020
Lua;Montez;2/06/1927;2820528514;Chimaltenango;San Juan Comalapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Fovissste, Mexico;Recuperado;2/05/2020
Lucina;Prieto;14/01/2012;2578370624;Sacatepéquez;Alotenango;Fiebre, Cansancio;San Pedro Sacatepéquez, Guatemala;Recuperado;11/04/2020
Quintilio;Arroyo;12/09/1991;24263027126;Guatemala;Guatemala;Fiebre, Tos seca, Escalofríos y dolores corporales;Esparza, Costa Rica;Confirmado;25/04/2020
Cleto;Ávalos;23/06/1977;2699090366;Escuintla;Palín;Fiebre, Cansancio;Berlín, El Salvador;Confirmado;21/04/2020
Valeriano;Cabán;24/05/1960;1979514949;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;Dulce Nombre de Culmí, Honduras;Confirmado;31/03/2020
Fabrizio;Pedraza;10/05/2019;2901378966;Zacapa;Río Hondo;Fiebre, Tos seca;Las Flores, Mexico;Recuperado;26/03/2020
Alcia;González;16/10/1986;19502586201;Quetzaltenango;Cantel;Fiebre, Tos seca, Escalofríos y dolores corporales;Bronx, Estados Unidos;Confirmado;7/05/2020
Pirra;Armendáriz;31/07/1959;20258304164;Jutiapa;Jalpatagua;Fiebre, Dificultad respiratoria;Maple Plain, Estados Unidos;Confirmado;14/04/2020
Domiciano;Mateo;12/01/1971;2170472394;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Kansas City, Estados Unidos;Confirmado;29/03/2020
Ciril;Alanis;7/02/1977;19675315219;Sololá;Concepción;Fiebre, Tos seca;Puerto Alto, Honduras;Sospechoso;14/03/2020
Helen;Fajardo;24/03/1963;21797269151;Chiquimula;Olopa;Fiebre, Cansancio;Patarrá, Costa Rica;Sospechoso;6/05/2020
Gustav;Hinojosa;24/05/1939;27373174110;Retalhuleu;Retalhuleu;Fiebre, Cansancio, Escalofríos y dolores corporales;El Refugio, Mexico;Confirmado;12/04/2020
Agesislao;Barajas;28/03/1990;22377519184;Escuintla;San José;Fiebre, Dificultad respiratoria;Pasaco, Guatemala;Confirmado;6/05/2020
Iair;Gaytan;25/12/1985;225470111710;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;El Olivar, Honduras;Recuperado;29/04/2020
Amilcar;Ramírez;19/11/1999;20973965123;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Fort Worth, Estados Unidos;Confirmado;14/04/2020
Maximino;Sauceda;25/07/1941;24683850219;Izabal;Los Amates;Fiebre, Tos seca;Los Angeles, Estados Unidos;Recuperado;28/04/2020
Casdoa;Haro;27/01/1956;1931051682;Izabal;Livingston;Fiebre, Tos seca;Sacapulas, Guatemala;Confirmado;27/04/2020
Teodolinda;Solano;9/01/1932;19611575223;Quiché;Zacualpa;Fiebre, Cansancio, Escalofríos y dolores corporales;Nueva Ocotepeque, Honduras;Sospechoso;14/04/2020
Misael;Cervántez;27/07/1929;26208932146;Guatemala;Mixco;Fiebre, Cansancio;Murcia, España;Confirmado;22/03/2020
Azanías;Zamora;24/08/1964;22630527222;Retalhuleu;San Sebastián;Fiebre, Tos seca;Greensboro, Estados Unidos;Confirmado;4/05/2020
Clorindo;Granados;18/08/1942;2059551345;Alta Verapaz;San Cristóbal Verapaz;Fiebre, Tos seca, Escalofríos y dolores corporales;San Isidro, Mexico;Confirmado;3/04/2020
Idalina;Barraza;21/11/1984;21797002185;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;La Estancia, Honduras;Confirmado;3/05/2020
Delfor;Acuna;26/04/1991;2507384117;Sacatepéquez;Pastores;Fiebre, Cansancio;Reforma, Mexico;Sospechoso;7/04/2020
Mireille;Ojeda;9/09/1955;2556243118;San Marcos;San Marcos;Fiebre, Dificultad respiratoria;Oakland, Estados Unidos;Recuperado;7/04/2020
Telmo;Osorio;12/05/1971;2658322274;Suchitepéquez;San José El Ídolo;Fiebre, Tos seca;Sacramento, Estados Unidos;Confirmado;14/03/2020
Yakue;Fajardo;24/02/1945;25995920226;Huehuetenango;La Libertad;Fiebre, Tos seca, Escalofríos y dolores corporales;Ciudad Arce, El Salvador;Recuperado;7/05/2020
Friedrich;Palomo;11/08/1967;2779079115;Escuintla;Tiquisate;Fiebre, Cansancio;Concepción Tutuapa, Guatemala;Recuperado;27/03/2020
Jacinta;Montez;27/10/1934;19413586182;Huehuetenango;Ixtahuacán;Fiebre, Dificultad respiratoria;Denton, Estados Unidos;Confirmado;11/04/2020
Alsan;Arreola;6/08/1950;25502215222;San Marcos;San Marcos;Fiebre, Tos seca, Escalofríos y dolores corporales;Iowa City, Estados Unidos;Recuperado;18/04/2020
Tarsicio;Sarabia;15/12/1960;21248997205;San Marcos;Catarina;Fiebre, Tos seca;Lakeland, Estados Unidos;Recuperado;31/03/2020
Estanislao;Acuna;25/01/2018;20133430114;Huehuetenango;Santa Bárbara;Fiebre, Cansancio;San Jose, Estados Unidos;Recuperado;16/03/2020
Folco;Arana;30/01/1944;2508933566;Sololá;Nahualá;Fiebre, Tos seca, Escalofríos y dolores corporales;Tepusteca, Honduras;Recuperado;17/03/2020
Micol;Maya;16/03/1961;28893769113;Chimaltenango;Chimaltenango;Fiebre, Cansancio, Escalofríos y dolores corporales;Jeffersonville, Estados Unidos;Confirmado;30/03/2020
Camille;Estrada;5/07/1956;213004341710;San Marcos;Catarina;Fiebre, Cansancio;San Andrés, Panama;Sospechoso;20/03/2020
Argus;Benavidez;16/07/1948;29979138131;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;El Paraíso, Honduras;Confirmado;24/04/2020
Ascla;Feliciano;6/02/1944;2041458164;Santa Rosa;Guazacapán;Fiebre, Tos seca;West Palm Beach, Estados Unidos;Recuperado;5/05/2020
Azarías;Velasco;14/12/2010;2688946378;Escuintla;Iztapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Guadalupe, Mexico;Recuperado;11/04/2020
Naná;Irizarry;23/07/1939;2525798359;Alta Verapaz;Cobán;Fiebre, Tos seca, Escalofríos y dolores corporales;Indianapolis, Estados Unidos;Recuperado;30/03/2020
Azarías;Tirado;27/08/1990;2099900026;San Marcos;Ixchiguán;Fiebre, Dificultad respiratoria;Azacualpa, Honduras;Confirmado;29/04/2020
Caín;Gallegos;24/05/1976;21416078181;Guatemala;Guatemala;Fiebre, Tos seca;Humble, Estados Unidos;Sospechoso;29/04/2020
Henoch;Vaca;13/01/2000;1910777748;Guatemala;Villa Nueva;Fiebre, Tos seca, Escalofríos y dolores corporales;Agua Fría, Honduras;Confirmado;2/05/2020
Karim;Lucero;7/06/1929;21433456196;Guatemala;Chinautla;Fiebre, Tos seca, Escalofríos y dolores corporales;Indianapolis, Estados Unidos;Confirmado;7/04/2020
Marciano;Rolón;9/07/2006;2995387592;Sololá;San Antonio Palopó;Fiebre, Cansancio;Sioguí Abajo, Panama;Confirmado;28/03/2020
Armen;Solano;20/12/1926;282750791910;San Marcos;Malacatán;Fiebre, Tos seca, Escalofríos y dolores corporales;Roanoke, Estados Unidos;Sospechoso;19/04/2020
Enriqueta;Venegas;21/12/2001;23998172135;Sololá;Sololá;Fiebre, Cansancio;La Colorada, Panama;Recuperado;27/03/2020
Eliazar;Grijalva;2/02/1925;19543429103;Zacapa;Estanzuela;Fiebre, Cansancio, Escalofríos y dolores corporales;Fort Worth, Estados Unidos;Recuperado;16/03/2020
Naida;Abreu;4/09/1969;23502260128;Guatemala;San Raymundo;Fiebre, Cansancio, Escalofríos y dolores corporales;Palma De Mallorca, España;Sospechoso;27/04/2020
Liboria;Preciado;14/01/2014;19087009216;Quiché;Cunén;Fiebre, Cansancio, Escalofríos y dolores corporales;Jefferson City, Estados Unidos;Confirmado;2/05/2020
Rachel;Olivera;15/08/1964;27984621710;Escuintla;San José;Fiebre, Cansancio, Escalofríos y dolores corporales;San Rafael, Mexico;Sospechoso;16/04/2020
Isod;Ibarra;1/04/1974;1902054289;Sololá;Concepción;Fiebre, Cansancio;Cincinnati, Estados Unidos;Recuperado;17/04/2020
Anibal;Longoria;7/03/1953;22024021121;Quiché;Pachalum;Fiebre, Tos seca, Escalofríos y dolores corporales;Joconal, Honduras;Recuperado;25/03/2020
Jenara;Corrales;19/10/1965;25597666107;Sololá;Nahualá;Fiebre, Tos seca, Escalofríos y dolores corporales;Reforma, Mexico;Recuperado;8/04/2020
Lahuen;Burgos;4/09/1953;2494234341;Jutiapa;Comapa;Fiebre, Tos seca;Erie, Estados Unidos;Recuperado;30/03/2020
Randall;Ortiz;16/08/1991;21178659210;Quiché;Canillá;Fiebre, Dificultad respiratoria;Mulatupo, Panama;Sospechoso;19/03/2020
Bautista;Enríquez;28/09/1990;298712871710;San Marcos;Catarina;Fiebre, Cansancio, Escalofríos y dolores corporales;Quebrada Larga, Honduras;Recuperado;20/03/2020
Pericles;Camarillo;17/09/1951;2157651418;Guatemala;Guatemala;Fiebre, Cansancio, Escalofríos y dolores corporales;Springfield, Estados Unidos;Confirmado;2/05/2020
Bibiano;Villalpando;30/12/1963;19019840195;Escuintla;San José;Fiebre, Tos seca, Escalofríos y dolores corporales;Boston, Estados Unidos;Recuperado;4/04/2020
Albino;Blanco;17/01/1997;25282459184;San Marcos;Ixchiguán;Fiebre, Tos seca, Escalofríos y dolores corporales;Bronx, Estados Unidos;Recuperado;11/04/2020
Naná;Collazo;19/03/1923;22315311139;Izabal;Puerto Barrios;Fiebre, Cansancio, Escalofríos y dolores corporales;La Estancia, Honduras;Sospechoso;15/03/2020
Jasper;Negrón;11/09/1942;2374043399;Guatemala;Villa Nueva;Fiebre, Cansancio, Escalofríos y dolores corporales;Guabito, Panama;Confirmado;2/04/2020
Adelardo;Domínguez;13/05/1991;2728542117;Escuintla;Palín;Fiebre, Dificultad respiratoria;Cerro Punta, Panama;Sospechoso;6/04/2020
Ezer;Romo;23/09/1946;23041803218;Escuintla;San José;Fiebre, Dificultad respiratoria;Purral, Costa Rica;Sospechoso;23/04/2020
Edco;Batista;6/01/1984;2449314886;Santa Rosa;San Juan Tecuaco;Fiebre, Cansancio;Knoxville, Estados Unidos;Sospechoso;27/03/2020
Chantal;Madrigal;19/11/1942;248536561410;Sololá;San Antonio Palopó;Fiebre, Cansancio, Escalofríos y dolores corporales;Melbourne, Estados Unidos;Sospechoso;29/04/2020
García;Ceja;3/06/1944;24358087178;Jutiapa;Jerez;Fiebre, Cansancio, Escalofríos y dolores corporales;Pasadena, Estados Unidos;Sospechoso;22/03/2020
Mathías;Caldera;17/03/1928;20032920159;Alta Verapaz;Santa Cruz Verapaz;Fiebre, Tos seca;Vancouver, Estados Unidos;Confirmado;22/04/2020
Dionne;Marroquín;23/05/2017;24641312168;Escuintla;Siquinalá;Fiebre, Dificultad respiratoria;Rochester, Estados Unidos;Recuperado;7/04/2020
Tristán;Rivas;14/07/1937;2567302775;Quetzaltenango;Salcajá;Fiebre, Tos seca, Escalofríos y dolores corporales;Columbus, Estados Unidos;Confirmado;30/04/2020
Quintilio;Segura;12/07/1956;2443716494;Quetzaltenango;Quetzaltenango;Fiebre, Cansancio;Chicago, Estados Unidos;Confirmado;7/05/2020
Ada;Baca;21/12/1951;26170500197;Escuintla;San José;Fiebre, Tos seca, Escalofríos y dolores corporales;Kansas City, Estados Unidos;Confirmado;15/03/2020
Anastasia;Najera;19/02/1991;2863429974;Chimaltenango;Tecpán;Fiebre, Cansancio;San Antonio, Mexico;Recuperado;14/04/2020
Abbi;Ortega;7/11/1986;2635106327;San Marcos;Malacatán;Fiebre, Cansancio, Escalofríos y dolores corporales;Atlanta, Estados Unidos;Sospechoso;12/04/2020
Alcuino;Sarabia;11/05/1934;24561693221;Guatemala;Guatemala;Fiebre, Tos seca;El Mirador, Mexico;Recuperado;1/04/2020
Fedra;Valadez;24/05/1943;19276930165;Chiquimula;Jocotán;Fiebre, Cansancio;Emiliano Zapata, Mexico;Sospechoso;3/04/2020
Caifas;Nieves;10/01/1974;2615620113;Retalhuleu;Retalhuleu;Fiebre, Tos seca;Carbajales, Honduras;Recuperado;9/04/2020
Bastien;Aguilera;16/04/1946;2401254897;Guatemala;Guatemala;Fiebre, Cansancio, Escalofríos y dolores corporales;Obrera, Mexico;Sospechoso;17/03/2020
Jimmy;Velez;28/07/1980;2579361855;Izabal;Los Amates;Fiebre, Cansancio;Lepaterique, Honduras;Recuperado;21/03/2020
Bela;Alvarado;22/06/2009;2005104488;Chiquimula;Ipala;Fiebre, Cansancio;Harrisburg, Estados Unidos;Recuperado;28/04/2020
Day;Santiago;21/10/1956;28417399195;Jalapa;San Luis Jilotepeque;Fiebre, Dificultad respiratoria;San Manuel Chaparrón, Guatemala;Sospechoso;1/05/2020
Calístrato;Amador;20/08/1984;21037827710;Quiché;Canillá;Fiebre, Cansancio, Escalofríos y dolores corporales;San Vicente Pacaya, Guatemala;Confirmado;30/03/2020
Amelio;Roque;14/06/1988;2873082375;San Marcos;Malacatán;Fiebre, Tos seca;Valle de Ángeles, Honduras;Sospechoso;7/04/2020
Queila;Tirado;5/09/1963;20432483215;Quiché;Chicamán;Fiebre, Tos seca, Escalofríos y dolores corporales;Independencia, Mexico;Recuperado;21/04/2020
Duarte;Guevara;17/03/1938;27965947219;Guatemala;Mixco;Fiebre, Cansancio, Escalofríos y dolores corporales;La Cruz, Mexico;Recuperado;13/04/2020
Lincoln;Velez;18/11/1974;20211052171;Guatemala;Mixco;Fiebre, Cansancio;San Salvador, El Salvador;Confirmado;19/04/2020
Iguazel;Toledo;24/03/1998;29122079133;Quiché;Canillá;Fiebre, Dificultad respiratoria;Río Alejandro, Panama;Recuperado;16/03/2020
Elisenda;Navarrete;19/06/1934;225287991310;Totonicapán;Totonicapán;Fiebre, Tos seca;Vicente Guerrero, Mexico;Recuperado;28/03/2020
Abdallah;Armijo;16/01/1997;27569484221;Escuintla;San José;Fiebre, Tos seca, Escalofríos y dolores corporales;Los Boquerones, Panama;Sospechoso;9/04/2020
Franco;Alvarado;3/09/2001;2891044951;El Progreso;Sanarate;Fiebre, Cansancio, Escalofríos y dolores corporales;Dante Delgado, Mexico;Recuperado;18/03/2020
Juven;Griego;5/04/1972;2334412416;Escuintla;San José;Fiebre, Cansancio;Newport Beach, Estados Unidos;Sospechoso;29/04/2020
Lucrecio;Cintrón;6/11/1955;25953312164;Guatemala;Guatemala;Fiebre, Cansancio;La Loma, Mexico;Sospechoso;16/03/2020
Antia;Rocha;22/07/1967;1996800084;San Marcos;San Marcos;Fiebre, Tos seca;Houston, Estados Unidos;Recuperado;18/04/2020
Orangel;Zelaya;7/11/1996;2133151456;Jalapa;Jalapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Paquera, Costa Rica;Sospechoso;24/04/2020
Leanna;Polanco;5/10/2018;2982780658;Zacapa;Teculután;Fiebre, Tos seca, Escalofríos y dolores corporales;Sabadell, España;Recuperado;25/03/2020
Piren;Fierro;20/05/1975;21802375910;Sololá;San Antonio Palopó;Fiebre, Tos seca;Las Flores, Mexico;Recuperado;15/04/2020
Fantino;Garza;16/10/2009;2683340946;Escuintla;San José;Fiebre, Dificultad respiratoria;Lynchburg, Estados Unidos;Confirmado;21/03/2020
Germinal;Gutiérrez;26/12/1972;21200011127;Escuintla;Palín;Fiebre, Tos seca;Sacramento, Estados Unidos;Sospechoso;1/05/2020
Zahira;Marcos;29/07/2002;2369612736; Quetzaltenango; Cantel;Fiebre, Tos seca, Escalofríos y dolores corporales;Solidaridad, Mexico;Sospechoso;14/04/2020
Ariane;Veliz;2/09/1947;2770332524;Sololá;Nahualá;Fiebre, Cansancio;Seattle, Estados Unidos;Sospechoso;21/04/2020
Wanda;Venegas;21/11/2017;21581685171;Huehuetenango;Ixtahuacán;Fiebre, Dificultad respiratoria;El Cubolero, Honduras;Recuperado;19/03/2020
Waldo;Batista;11/07/1927;20152349185;Guatemala;Mixco;Fiebre, Cansancio, Escalofríos y dolores corporales;Palermo, Italia;Recuperado;5/04/2020
Pastora;Padrón;1/05/1932;19366036144;Escuintla;San José;Fiebre, Dificultad respiratoria;San Sebastian, Mexico;Sospechoso;23/03/2020
Muredac;Perales;16/02/2003;25692962114;Guatemala;Villa Nueva;Fiebre, Dificultad respiratoria;Santiago De Compostela, España;Recuperado;14/04/2020
Glauco;Solórzano;12/04/1978;2932091637;Escuintla;Iztapa;Fiebre, Dificultad respiratoria;Philadelphia, Estados Unidos;Recuperado;8/04/2020
Fidelia;Polanco;17/12/1987;28900092178;Santa Rosa;San Juan Tecuaco;Fiebre, Dificultad respiratoria;San Andrés Villa Seca, Guatemala;Sospechoso;29/03/2020
Macario;Baca;5/02/2015;2393829855;Suchitepéquez;San Francisco Zapotitlán;Fiebre, Cansancio, Escalofríos y dolores corporales;San Diego, Estados Unidos;Sospechoso;15/03/2020
Cruz;Rodrígez;17/02/1970;28118543151;Guatemala;Guatemala;Fiebre, Tos seca, Escalofríos y dolores corporales;Benito Juarez, Mexico;Sospechoso;31/03/2020
Minotauro;Becerra;16/01/1970;2915512033;San Marcos;Comitancillo;Fiebre, Tos seca;Pital, Costa Rica;Sospechoso;31/03/2020
Eladia;Cordero;11/11/2003;22113244175;Sololá;San Antonio Palopó;Fiebre, Dificultad respiratoria;Inglewood, Estados Unidos;Sospechoso;2/05/2020
